id	dens11
1001	 201.12 
1002	 242.64 
1003	 9.97 
1004	 152.66 
1005	 94.99 
1006	 352.60 
1007	 49.23 
1008	 1417.26 
1009	 262.62 
1010	 55.00 
1011	 22.38 
1012	 127.22 
1013	 522.41 
1014	 135.23 
1015	 115.16 
1016	 243.03 
1017	 118.50 
1018	 245.56 
1019	 1.51 
1020	 1616.64 
1021	 126.77 
1022	 24.30 
1023	 150.26 
1024	 2688.29 
1025	 181.52 
1026	 6.02 
1027	 148.49 
1028	 950.69 
1029	 78.97 
1030	 271.48 
1031	 67.49 
1032	 467.58 
1033	 279.87 
1034	 1335.45 
1035	 198.47 
1036	 41.31 
1037	 52.62 
1038	 1522.21 
1039	 120.20 
1040	 123.01 
1041	 95.66 
1042	 224.25 
1043	 313.88 
1044	 171.66 
1045	 788.65 
1046	 343.16 
1047	 189.48 
1048	 439.79 
1049	 124.66 
1050	 140.83 
1051	 469.70 
1052	 24.60 
1053	 225.72 
1054	 24.05 
1055	 128.96 
1056	 86.24 
1057	 75.27 
1058	 180.66 
1059	 298.41 
1060	 90.43 
1061	 686.27 
1062	 204.77 
1063	 637.33 
1064	 156.10 
1065	 126.91 
1066	 256.21 
1067	 14.70 
1068	 450.17 
1069	 187.29 
1070	 113.73 
1071	 141.11 
1072	 37.64 
1073	 1.59 
1074	 8.27 
1075	 10.27 
1076	 91.33 
1077	 175.17 
1078	 663.53 
1079	 49.28 
1080	 34.83 
1081	 285.81 
1082	 505.75 
1083	 117.26 
1084	 52.89 
1085	 60.52 
1086	 1038.45 
1087	 71.45 
1088	 55.60 
1089	 54.51 
1090	 2711.83 
1091	 54.80 
1092	 131.39 
1093	 65.67 
1094	 80.26 
1095	 161.19 
1096	 145.10 
1097	 128.84 
1098	 522.12 
1099	 306.32 
1100	 5.71 
1101	 352.18 
1102	 287.46 
1103	 11.19 
1104	 225.30 
1105	 192.60 
1106	 149.01 
1107	 218.90 
1108	 10.96 
1109	 157.65 
1110	 140.95 
1111	 75.25 
1112	 464.92 
1113	 86.95 
1114	 19.56 
1115	 226.95 
1116	 283.93 
1117	 37.66 
1118	 2.07 
1119	 240.20 
1120	 2832.25 
1121	 3.32 
1122	 92.29 
1123	 82.36 
1124	 77.21 
1125	 783.58 
1126	 147.98 
1127	 674.66 
1128	 500.60 
1129	 104.48 
1130	 478.57 
1131	 4.14 
1132	 249.73 
1133	 81.43 
1134	 12.08 
1135	 134.16 
1136	 146.47 
1137	 268.64 
1138	 77.61 
1139	 424.48 
1140	 74.43 
1141	 105.73 
1142	 87.55 
1143	 74.13 
1144	 122.83 
1145	 1.52 
1146	 563.59 
1147	 24.64 
1148	 151.85 
1149	 53.19 
1150	 100.25 
1151	 20.94 
1152	 28.67 
1153	 100.67 
1154	 21.46 
1155	 21.58 
1156	 1175.59 
1157	 9.33 
1158	 160.84 
1159	 159.24 
1160	 468.95 
1161	 257.13 
1162	 121.93 
1163	 126.36 
1164	 2327.04 
1165	 2.17 
1166	 608.64 
1167	 101.49 
1168	 324.56 
1169	 19.61 
1170	 226.24 
1171	 1014.81 
1172	 115.88 
1173	 204.79 
1174	 199.47 
1175	 31.67 
1176	 228.45 
1177	 165.88 
1178	 124.94 
1179	 174.07 
1180	 253.99 
1181	 337.08 
1182	 133.29 
1183	 422.64 
1184	 130.50 
1185	 118.09 
1186	 11.44 
1187	 193.05 
1188	 113.46 
1189	 860.63 
1190	 87.82 
1191	 692.39 
1192	 388.68 
1193	 188.97 
1194	 452.99 
1195	 348.36 
1196	 124.88 
1197	 135.15 
1198	 124.75 
1199	 192.85 
1200	 250.24 
1201	 8.12 
1202	 3.75 
1203	 65.17 
1204	 10.77 
1205	 122.70 
1206	 125.12 
1207	 69.54 
1208	 162.41 
1209	 90.75 
1210	 58.92 
1211	 253.38 
1212	 1.54 
1213	 106.98 
1214	 766.49 
1215	 117.41 
1216	 211.86 
1217	 383.17 
1218	 149.54 
1219	 1648.53 
1220	 347.03 
1221	 123.60 
1222	 204.97 
1223	 261.98 
1224	 3.25 
1225	 171.60 
1226	 20.55 
1227	 14.96 
1228	 509.76 
1229	 89.73 
1230	 51.19 
1231	 362.48 
1232	 15.11 
1233	 248.17 
1234	 4.91 
1235	 663.38 
1236	 252.56 
1237	 185.30 
1238	 111.21 
1239	 171.32 
1240	 322.10 
1241	 572.36 
1242	 118.14 
1243	 340.17 
1244	 132.56 
1245	 52.69 
1246	 353.36 
1247	 86.89 
1248	 556.14 
1249	 1507.74 
1250	 114.91 
1251	 131.34 
1252	 278.60 
1253	 115.16 
1254	 286.98 
1255	 567.96 
1256	 442.39 
1257	 662.90 
1258	 2.80 
1259	 64.18 
1260	 104.27 
1261	 101.11 
1262	 133.24 
1263	 32.33 
1264	 83.03 
1265	 1448.26 
1266	 66.34 
1267	 36.56 
1268	 119.24 
1269	 281.99 
1270	 603.29 
1271	 93.72 
1272	 6709.94 
1273	 286.64 
1274	 107.98 
1275	 216.75 
1276	 236.56 
1277	 10.70 
1278	 8.89 
1279	 52.90 
1280	 883.65 
1281	 4.87 
1282	 2.22 
1283	 201.26 
1284	 104.36 
1285	 103.95 
1286	 129.13 
1287	 265.59 
1288	 1.56 
1289	 36.79 
1290	 206.54 
1291	 50.09 
1292	 1650.52 
1293	 168.27 
1294	 45.67 
1295	 68.77 
1296	 54.68 
1297	 26.78 
1298	 168.47 
1299	 126.76 
1300	 95.01 
1301	 281.59 
1302	 319.24 
1303	 517.11 
1304	 88.70 
1305	 80.51 
1306	 18.58 
1307	 363.21 
1308	 244.70 
1309	 797.32 
1310	 84.72 
1311	 76.95 
1312	 111.28 
1313	 13.29 
1314	 462.00 
1315	 414.14 
2002	 5.83 
2003	 24.24 
2004	 110.77 
2006	 39.00 
2007	 53.24 
2008	 9.60 
2009	 14.22 
2011	 48.51 
2014	 6.47 
2015	 65.40 
2016	 317.13 
2017	 118.94 
2019	 24.62 
2021	 36.53 
2025	 7.12 
2029	 3.29 
2030	 42.64 
2031	 103.16 
2032	 28.70 
2033	 16.35 
2035	 34.25 
2038	 84.49 
2041	 5.03 
2042	 179.67 
2043	 35.87 
2045	 11.38 
2047	 38.92 
2048	 7.98 
2049	 165.56 
2052	 29.25 
2054	 64.03 
2057	 7.78 
2058	 51.76 
2059	 32.81 
2061	 245.70 
2062	 71.90 
2065	 32.15 
2066	 55.85 
2067	 56.61 
2068	 46.28 
2070	 25.65 
2071	 76.69 
2072	 122.84 
2078	 7.47 
2079	 72.59 
2082	 68.62 
2088	 45.69 
2089	 38.61 
2090	 92.68 
2091	 38.70 
2093	 77.57 
2096	 15.76 
2097	 14.19 
2102	 36.72 
2104	 58.24 
2107	 262.81 
2108	 36.69 
2110	 1.53 
2111	 1.86 
2112	 5.06 
2113	 5.21 
2114	 4.11 
2115	 49.85 
2116	 88.30 
2118	 23.70 
2121	 16.39 
2122	 33.45 
2123	 3.84 
2126	 19.45 
2127	 12.99 
2128	 131.97 
2131	 57.72 
2133	 166.10 
2134	 17.35 
2135	 22.02 
2137	 245.91 
2142	 68.69 
2147	 57.88 
2148	 105.33 
2150	 79.51 
2152	 74.47 
2156	 84.94 
2158	 580.48 
2163	 18.23 
2164	 110.95 
2166	 8.00 
3001	 106.90 
3002	 87.43 
3006	 69.84 
3008	 935.72 
3012	 43.71 
3016	 239.29 
3018	 96.36 
3019	 127.70 
3021	 155.70 
3022	 355.89 
3023	 98.76 
3024	 655.90 
3025	 368.55 
3026	 642.39 
3027	 49.85 
3030	 115.81 
3032	 269.35 
3036	 175.90 
3037	 67.08 
3039	 88.31 
3040	 39.38 
3041	 49.58 
3042	 29.93 
3043	 683.34 
3044	 62.75 
3045	 130.16 
3047	 150.01 
3049	 206.13 
3051	 146.44 
3052	 274.87 
3055	 221.16 
3058	 306.10 
3060	 283.46 
3062	 364.44 
3065	 229.31 
3066	 129.00 
3068	 511.00 
3069	 134.34 
3070	 497.83 
3071	 206.34 
3073	 175.20 
3076	 445.15 
3077	 73.35 
3079	 327.27 
3082	 256.97 
3083	 81.01 
3084	 164.64 
3088	 163.43 
3090	 41.68 
3091	 199.54 
3093	 161.86 
3095	 339.21 
3097	 152.36 
3098	 160.66 
3100	 113.31 
3103	 224.56 
3104	 69.83 
3106	 989.34 
3108	 361.16 
3109	 331.58 
3112	 174.88 
3114	 399.45 
3115	 127.60 
3116	 193.46 
3119	 278.38 
3120	 155.90 
3121	 177.45 
3122	 164.35 
3129	 103.47 
3130	 225.24 
3131	 304.05 
3133	 364.75 
3134	 60.26 
3135	 57.19 
3138	 62.40 
3139	 134.46 
3140	 122.57 
3141	 81.69 
3143	 131.66 
3144	 59.08 
3146	 66.16 
3149	 519.47 
3153	 101.37 
3154	 367.61 
3157	 186.79 
3158	 116.25 
3159	 66.42 
3164	 38.03 
4001	 1.15 
4002	 6.88 
4003	 574.85 
4004	 56.43 
4005	 16.22 
4006	 1.04 
4007	 40.87 
4008	 33.54 
4009	 95.49 
4010	 70.86 
4011	 87.20 
4012	 95.87 
4013	 123.92 
4014	 53.83 
4015	 21.04 
4016	 180.93 
4017	 2.17 
4018	 73.96 
4019	 74.97 
4020	 84.02 
4021	 21.53 
4022	 146.45 
4023	 14.78 
4024	 45.88 
4025	 553.80 
4026	 32.67 
4027	 46.47 
4028	 190.88 
4029	 486.05 
4030	 51.94 
4031	 0.92 
4032	 28.35 
4033	 39.52 
4034	 152.62 
4035	 27.71 
4036	 55.38 
4037	 315.46 
4038	 1.69 
4039	 10.43 
4040	 162.08 
4041	 115.16 
4042	 58.74 
4043	 171.37 
4044	 27.73 
4045	 81.32 
4046	 296.98 
4047	 5.27 
4048	 85.02 
4049	 78.87 
4050	 24.57 
4051	 114.96 
4052	 29.26 
4053	 1.66 
4054	 22.20 
4055	 149.99 
4056	 74.86 
4057	 32.21 
4058	 39.66 
4059	 106.06 
4060	 2.99 
4061	 160.45 
4062	 57.08 
4063	 44.86 
4064	 263.35 
4065	 116.26 
4066	 133.37 
4067	 106.11 
4068	 39.25 
4069	 32.02 
4070	 13.89 
4071	 52.47 
4072	 201.92 
4073	 95.57 
4074	 50.15 
4075	 217.96 
4076	 50.26 
4077	 3.30 
4078	 459.70 
4079	 16.17 
4080	 196.71 
4081	 134.66 
4082	 122.21 
4083	 3.59 
4084	 5.02 
4085	 82.51 
4086	 106.25 
4087	 70.55 
4088	 44.87 
4089	 189.86 
4090	 17.29 
4091	 39.69 
4092	 17.05 
4093	 120.75 
4094	 71.06 
4095	 25.61 
4096	 189.18 
4097	 23.05 
4098	 12.72 
4099	 114.06 
4100	 508.89 
4101	 255.46 
4102	 24.68 
4103	 15.36 
4104	 79.32 
4105	 112.47 
4106	 41.76 
4107	 67.13 
4108	 59.97 
4109	 15.63 
4110	 21.04 
4111	 26.01 
4112	 2.11 
4113	 213.26 
4114	 67.16 
4115	 66.60 
4116	 318.29 
4117	 105.39 
4118	 125.87 
4119	 1.80 
4120	 20.04 
4121	 58.81 
4122	 11.68 
4123	 16.72 
4124	 13.36 
4125	 35.50 
4126	 75.64 
4127	 13.15 
4128	 91.00 
4129	 111.81 
4130	 255.63 
4131	 55.05 
4132	 80.79 
4133	 175.80 
4134	 24.22 
4135	 73.65 
4136	 63.04 
4137	 82.58 
4138	 19.63 
